Instrument Serial Num,Reading #,Date,Time,Location,Sample ID,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Real Time 1,Real Time 2
801422,6,1/12/21,14:53:18,L1,0-10 cm,Geochem(3-Beam),model1,6,No,,,PPM,,,,0,2481,,,,46204,220,,,,230708,303,,,,0,38,,,,0,55,,,,11919,23,,,,2588,10,,,,2636,41,,,,0,17,,,,59,7,,,,223,5,,,,16677,31,,,,0,9,,,,17,2,,,,11,1,,,,31,1,,,,5,0,,,,0,0,,,,55,0,,,,54,0,,,,16,0,,,,401,1,,,,7,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,428,64,,,,5,1,,,,0,1,,,,11,0,,,,0,4,,,,0,2,,,,0,1,,,,690859,401,120,120
801422,7,1/12/21,14:58:19,L1,10-20 cm,Geochem(3-Beam),model1,7,No,,,PPM,,,,0,1683,,,,51026,226,,,,226758,297,,,,0,37,,,,0,53,,,,13095,24,,,,2735,10,,,,3448,42,,,,0,17,,,,74,7,,,,230,5,,,,19135,34,,,,0,10,,,,13,2,,,,14,1,,,,33,1,,,,6,0,,,,0,0,,,,56,0,,,,51,0,,,,17,0,,,,402,1,,,,12,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,301,64,,,,5,1,,,,0,1,,,,10,0,,,,11,2,,,,0,2,,,,0,1,,,,685917,403,120,120
801422,8,1/12/21,15:03:17,L1,20-30 cm,Geochem(3-Beam),model1,8,No,,,PPM,,,,0,1882,,,,56087,239,,,,199313,280,,,,0,40,,,,0,60,,,,11752,23,,,,3192,11,,,,2958,40,,,,42,12,,,,64,7,,,,197,5,,,,26368,44,,,,0,12,,,,22,2,,,,14,1,,,,50,1,,,,7,0,,,,0,0,,,,76,0,,,,57,0,,,,17,0,,,,334,1,,,,9,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,307,62,,,,5,1,,,,0,1,,,,13,0,,,,7,2,,,,0,2,,,,0,1,,,,703710,405,120,120
801422,9,1/12/21,15:08:19,L1,30-40 cm,Geochem(3-Beam),model1,9,No,,,PPM,,,,3904,950,,,,59415,252,,,,192748,331,,,,0,40,,,,0,60,,,,12221,26,,,,3565,12,,,,3174,41,,,,67,12,,,,68,7,,,,208,5,,,,30156,56,,,,0,12,,,,26,2,,,,16,1,,,,57,1,,,,9,0,,,,0,0,,,,84,0,,,,61,0,,,,19,0,,,,328,1,,,,10,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,368,63,,,,4,1,,,,0,1,,,,13,0,,,,10,2,,,,0,2,,,,0,1,,,,698725,784,120,120
801422,10,1/12/21,15:13:01,L1,40-50 cm,Geochem(3-Beam),model1,10,No,,,PPM,,,,0,1892,,,,59438,245,,,,192181,276,,,,0,40,,,,0,61,,,,12167,23,,,,3406,11,,,,3334,41,,,,74,12,,,,59,7,,,,180,5,,,,28329,46,,,,0,12,,,,26,2,,,,22,1,,,,54,1,,,,8,0,,,,0,0,,,,81,0,,,,62,0,,,,20,0,,,,354,1,,,,10,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,336,63,,,,0,2,,,,0,1,,,,13,0,,,,0,4,,,,0,2,,,,0,1,,,,704785,409,120,120
801422,11,1/12/21,15:17:48,L1,50-60 cm,Geochem(3-Beam),model1,11,No,,,PPM,,,,3039,926,,,,60270,251,,,,202117,339,,,,0,38,,,,0,57,,,,13131,27,,,,3340,11,,,,3640,43,,,,57,12,,,,77,7,,,,164,5,,,,28979,54,,,,0,12,,,,26,2,,,,20,1,,,,50,1,,,,9,0,,,,0,0,,,,81,0,,,,64,0,,,,22,0,,,,386,1,,,,10,0,,,,0,1,,,,0,3,,,,0,4,,,,9,3,,,,0,7,,,,303,64,,,,4,1,,,,0,1,,,,14,0,,,,9,2,,,,0,2,,,,0,1,,,,689234,764,120,120
801422,12,1/12/21,15:22:30,L1,60-70 cm,Geochem(3-Beam),model1,12,No,,,PPM,,,,0,1875,,,,59892,245,,,,196608,279,,,,0,40,,,,0,59,,,,11910,23,,,,3013,11,,,,3094,41,,,,0,18,,,,58,7,,,,153,5,,,,26157,44,,,,0,12,,,,23,2,,,,15,1,,,,49,1,,,,8,0,,,,0,0,,,,73,0,,,,57,0,,,,18,0,,,,319,1,,,,9,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,280,63,,,,5,1,,,,0,1,,,,12,0,,,,9,2,,,,0,2,,,,0,1,,,,702801,409,120,120
801422,13,1/12/21,15:27:34,L1,70-80 cm,Geochem(3-Beam),model1,13,No,,,PPM,,,,0,1745,,,,62030,244,,,,204376,282,,,,0,37,,,,0,55,,,,13219,24,,,,3213,11,,,,3181,41,,,,67,12,,,,85,7,,,,149,5,,,,28069,45,,,,0,12,,,,24,2,,,,18,1,,,,48,1,,,,7,0,,,,0,0,,,,76,0,,,,60,0,,,,18,0,,,,363,1,,,,10,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,282,63,,,,4,1,,,,0,1,,,,13,0,,,,10,2,,,,0,2,,,,0,1,,,,689578,413,120,120
801422,14,1/12/21,15:32:18,L1,80-90 cm,Geochem(3-Beam),model1,14,No,,,PPM,,,,0,1962,,,,60044,248,,,,189711,275,,,,0,42,,,,0,62,,,,11523,23,,,,3038,11,,,,2747,40,,,,0,17,,,,59,7,,,,124,5,,,,26358,44,,,,0,12,,,,23,2,,,,16,1,,,,45,1,,,,8,0,,,,0,0,,,,70,0,,,,54,0,,,,16,0,,,,297,1,,,,10,0,,,,2,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,370,62,,,,5,1,,,,0,1,,,,11,0,,,,0,4,,,,0,2,,,,0,1,,,,710066,408,120,120
801422,15,1/12/21,15:37:09,L1,90-100 cm,Geochem(3-Beam),model1,15,No,,,PPM,,,,3773,929,,,,61400,253,,,,201068,337,,,,0,39,,,,0,58,,,,12267,26,,,,3236,11,,,,3050,41,,,,53,12,,,,62,7,,,,138,5,,,,26285,50,,,,0,12,,,,25,2,,,,15,1,,,,46,1,,,,7,0,,,,0,0,,,,70,0,,,,54,0,,,,18,0,,,,361,1,,,,9,0,,,,0,1,,,,0,3,,,,0,4,,,,0,5,,,,0,7,,,,271,63,,,,0,2,,,,0,1,,,,11,0,,,,0,4,,,,0,2,,,,0,1,,,,692364,767,120,120
